Run,Fraction,TechRepMixture,Mixture,Channel,BioReplicate,Condition
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,126,CPT0088900003_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,126,CPT0088900003_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,126,CPT0088900003_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,127N,CPT0079270003_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,127N,CPT0079270003_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,127N,CPT0079270003_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,127C,CPT0088920001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,127C,CPT0088920001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,127C,CPT0088920001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,128N,CPT0079300001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,128N,CPT0079300001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,128N,CPT0079300001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,128C,CPT0088550004_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,128C,CPT0088550004_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,128C,CPT0088550004_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,129N,QC6_QC,QC
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,129N,QC6_QC,QC
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,129N,QC6_QC,QC
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,129C,CPT0014450004_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,129C,CPT0014450004_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f03,3,1,plex16,129C,CPT0014450004_T,T
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f01,1,1,plex16,130N,CPT0088570001_N,N
16CPTAC_CCRCC_W_JHU_20180322_LUMOS_f02,2,1,plex16,130N,CPT0088570001_N,N
